gene_name	expected_Pai2g
A1BG	1.4784856219825304E-6
A1CF	1.52789022480917E-7
A2M	0.023054036394542586
A2ML1	0.010122099294167169
A3GALT2	3.514888019601428E-4
A4GALT	7.084497081127387E-8
A4GNT	2.3405029084313022E-5
AAAS	2.944444410175524E-6
AACS	9.564489471976393E-7
AADAC	1.4056769670564253E-7
AADACL2	2.0834425494595267E-6
AADACL3	2.9264966914463904E-6
AADACL4	4.2178863645841926E-7
AADAT	8.255972650217143E-9
AAED1	1.1952348982810276E-5
AAGAB	9.533304122990997E-8
AAK1	2.4200163586145457E-8
AAMDC	0.3744850772531996
AAMP	4.7286501612390615E-7
AANAT	3.893701910702928E-8
AAR2	1.309686620625758E-5
AARD	4.16618321564387E-6
AARS	4.212076438505419E-7
AARS2	6.979416829559211E-7
AARSD1	4.27918270821867E-6
AASDH	0.0034688247149948785
AASDHPPT	1.3463052291177546E-7
AASS	2.8822573615507974E-7
AATF	1.19399947459408E-6
AATK	1.3910250862500627E-5
ABAT	7.88196575967892E-8
ABCA1	2.3341886817915844E-6
ABCA10	0.26286191423393496
ABCA12	0.12270368046272867
ABCA13	2.5831686456572156E-4
ABCA2	7.403752933291423E-7
ABCA3	2.709765398945422E-7
ABCA4	1.0198949624772184E-5
ABCA5	4.615627481748006E-6
ABCA6	1.6331495655321013E-5
ABCA7	0.006863029404503936
ABCA8	8.730775549281227E-5
ABCA9	3.7082617261549764E-5
ABCB1	1.0390366648424888E-7
ABCB10	2.1729205766058096E-7
ABCB11	3.736948241255088E-7
ABCB4	1.7415365472925352E-7
ABCB5	0.015718269083169655
ABCB6	6.161457015421918E-6
ABCB7	5.054989676607798E-4
ABCB8	1.9389180082079875E-6
ABCB9	1.853729392756657E-7
ABCC1	0.277222532655235
ABCC10	3.846463908845381E-6
ABCC11	2.8494511541282425E-4
ABCC12	0.005669839503461207
ABCC2	1.3280574365177305E-5
ABCC3	1.103139288316339E-5
ABCC4	1.0571967189544039E-6
ABCC5	1.5815225925615352E-4
ABCC6	2.6525736038912962E-5
ABCC8	1.8181888819128447E-6
ABCC9	1.4425824585935432E-5
ABCD1	9.470802934981001E-9
ABCD2	6.21708172933899E-8
ABCD3	1.4350492679764341E-8
ABCD4	0.0017584367991259912
ABCE1	3.6763881956436704E-10
ABCF1	0.8574654460574745
ABCF2	5.650752704170395E-9
ABCF3	1.1076214436418658E-7
ABCG1	1.894225242207541E-6
ABCG2	1.2224583309420695E-5
ABCG4	2.3205911896217035E-7
ABCG5	1.3888826257643466E-6
ABCG8	1.079678651751925E-5
ABHD1	3.943778335300573E-6
ABHD10	3.0657630582534925E-7
ABHD11	1.246665306672666E-7
ABHD12	0.4030515164445024
ABHD12B	1.114448177610752E-4
ABHD13	6.567319198334779E-10
ABHD14A	2.3348055244535882E-5
ABHD14B	4.1748961150487706E-4
ABHD15	1.2865628815369795E-4
ABHD16A	1.574201756713209E-7
ABHD16B	4.7600408948123284E-4
ABHD17A	1.0610926580389758E-8
ABHD17B	3.0940545289341106E-9
ABHD17C	1.6307289999987957E-10
ABHD2	1.986111832073999E-8
ABHD3	7.025579519121087E-7
ABHD4	4.808651448725245E-6
ABHD5	1.8574777246374924E-7
ABHD6	8.995613175301183E-8
ABHD8	1.9604872111014184E-7
ABI1	3.663910377558613E-8
ABI2	1.9953376846490548E-9
ABI3	2.2835719216718253E-8
ABI3BP	8.133544433097409E-6
ABL1	2.8527210000159257E-10
ABL2	1.3492577888837615E-6
ABLIM1	1.068929989015062E-5
ABLIM2	1.1403587653401077E-7
ABLIM3	1.796524250869675E-4
ABR	4.143604004026206E-8
ABRA	3.6388063586537685E-7
ABRACL	6.173631824864224E-10
ABT1	7.510005192523201E-8
ABTB1	9.654922764394937E-5
ABTB2	3.433831468316933E-8
ACAA1	2.142135475773113E-6
ACAA2	6.012106855310144E-7
ACACA	1.7808632185748552E-7
ACACB	6.9145485527559595E-6
ACAD10	2.185675219602144E-5
ACAD11	0.0032250819409939536
ACAD8	5.441529184733166E-7
ACAD9	3.448859330622155E-5
ACADL	2.5370955517517647E-5
ACADM	1.6375879628357496E-6
ACADS	2.7530703312164466E-7
ACADSB	1.9474780675643303E-6
ACADVL	5.374758804597474E-4
ACAN	1.8463697672537035E-6
ACAP1	1.954054691498265E-7
ACAP2	3.4345844293538324E-7
ACAP3	5.13016408784748E-7
ACAT1	1.390137977790657E-7
ACAT2	1.3517893076498974E-7
ACBD3	4.4393708867208275E-7
ACBD4	4.619313326212135E-7
ACBD5	6.607416697740087E-8
ACBD6	1.7669886059164046E-8
ACBD7	1.5492597542464417E-6
ACCS	1.7640747982347984E-7
ACCSL	9.107133203817076E-7
ACD	6.853149682779561E-7
ACE	0.39134105907660716
ACE2	5.456832263588445E-10
ACER1	5.2496960078976026E-8
ACER2	4.9238116368038705E-8
ACER3	1.213192374982922E-7
ACHE	3.873190867880568E-7
ACIN1	1.322841026630173E-4
ACKR2	2.0301397654186003E-6
ACKR3	2.8550619839714324E-10
ACKR4	7.838448933212581E-8
ACLY	1.5118334474271032E-6
ACMSD	2.7273120069868004E-7
ACN9	4.1348740319208765E-8
ACO1	1.2855241681794785E-6
ACO2	1.5262607561797808E-8
ACOT1	1.3510766088183999E-5
ACOT11	6.350033954426391E-6
ACOT12	2.211872504039661E-6
ACOT13	1.5774985906158E-5
ACOT2	2.4886564874879657E-6
